game_index,mcts_colour,winner,moves
0,Black,Black,42
1,White,White,57
2,Black,Black,42
3,White,NoColour,80
4,Black,Black,34
5,White,White,41
6,Black,Black,38
7,White,NoColour,80
8,Black,Black,46
9,White,White,63
10,Black,Black,52
11,White,White,41
12,Black,Black,54
13,White,White,33
14,Black,Black,38
15,White,White,43
16,Black,Black,38
17,White,White,39
18,Black,Black,38
19,White,White,43
20,Black,Black,48
21,White,White,45
22,Black,Black,44
23,White,White,45
24,Black,Black,50
25,White,White,59
26,Black,Black,52
27,White,White,43
28,Black,Black,54
29,White,NoColour,80
30,Black,Black,34
31,White,White,45
32,Black,Black,32
33,White,White,43
34,Black,NoColour,80
35,White,White,37
36,Black,Black,30
37,White,White,51
38,Black,Black,34
39,White,White,45
40,Black,Black,42
41,White,White,45
42,Black,Black,56
43,White,White,39
44,Black,Black,34
45,White,White,47
46,Black,Black,40
47,White,White,67
48,Black,Black,44
49,White,NoColour,80
50,Black,Black,54
51,White,White,49
52,Black,Black,40
53,White,White,39
54,Black,Black,74
55,White,White,37
56,Black,Black,44
57,White,White,45
58,Black,Black,34
59,White,White,41
60,Black,Black,46
61,White,White,59
62,Black,Black,60
63,White,White,33
64,Black,Black,44
65,White,White,47
66,Black,Black,32
67,White,White,35
68,Black,NoColour,80
69,White,White,45
70,Black,Black,62
71,White,White,41
72,Black,Black,44
73,White,White,57
74,Black,Black,36
75,White,White,35
76,Black,Black,38
77,White,White,53
78,Black,Black,44
79,White,White,69
80,Black,Black,46
81,White,White,41
82,Black,Black,46
83,White,White,41
84,Black,Black,42
85,White,NoColour,80
86,Black,Black,42
87,White,White,31
88,Black,Black,42
89,White,White,35
90,Black,Black,40
91,White,White,51
92,Black,Black,46
93,White,White,47
94,Black,Black,38
95,White,White,47
96,Black,Black,56
97,White,NoColour,80
98,Black,Black,58
99,White,White,43
100,Black,Black,40
101,White,White,63
