game_index,mcts_colour,winner,moves
0,Black,White,59
1,White,NoColour,80
2,Black,White,77
3,White,Black,54
4,Black,White,55
5,White,NoColour,69
6,Black,White,47
7,White,NoColour,80
8,Black,White,67
9,White,NoColour,61
10,Black,NoColour,80
11,White,NoColour,63
12,Black,NoColour,80
13,White,NoColour,80
14,Black,White,79
15,White,Black,78
16,Black,White,55
17,White,NoColour,80
18,Black,White,57
19,White,Black,48
20,Black,White,67
21,White,Black,52
22,Black,White,49
23,White,NoColour,80
24,Black,NoColour,69
25,White,Black,48
26,Black,NoColour,80
27,White,NoColour,80
28,Black,White,43
29,White,NoColour,80
30,Black,White,45
31,White,NoColour,72
32,Black,NoColour,80
33,White,Black,54
34,Black,NoColour,80
35,White,Black,76
36,Black,NoColour,80
37,White,NoColour,67
38,Black,White,53
39,White,Black,50
40,Black,White,41
41,White,NoColour,80
42,Black,NoColour,80
43,White,NoColour,80
44,Black,White,53
45,White,NoColour,80
46,Black,White,65
47,White,Black,56
48,Black,NoColour,80
49,White,NoColour,80
50,Black,NoColour,80
51,White,NoColour,80
52,Black,NoColour,80
53,White,Black,64
54,Black,White,43
55,White,NoColour,75
56,Black,NoColour,80
57,White,NoColour,80
58,Black,NoColour,80
59,White,NoColour,63
60,Black,White,73
61,White,Black,56
62,Black,White,57
63,White,Black,48
64,Black,NoColour,80
65,White,NoColour,80
66,Black,White,37
67,White,Black,74
68,Black,NoColour,80
69,White,Black,76
70,Black,White,71
71,White,NoColour,80
72,Black,White,37
73,White,Black,60
74,Black,White,53
75,White,Black,64
76,Black,White,69
77,White,NoColour,80
78,Black,White,63
79,White,Black,70
80,Black,White,65
81,White,Black,64
82,Black,NoColour,78
83,White,Black,60
84,Black,White,41
85,White,Black,58
86,Black,White,55
87,White,Black,52
88,Black,White,41
89,White,Black,74
90,Black,White,69
91,White,Black,58
92,Black,White,47
93,White,Black,42
94,Black,White,53
95,White,Black,48
96,Black,White,49
97,White,NoColour,80
98,Black,White,45
99,White,NoColour,80
