game_index,mcts_colour,winner,moves
0,Black,NoColour,80
1,White,NoColour,59
2,Black,NoColour,80
3,White,NoColour,80
4,Black,White,55
5,White,Black,76
6,Black,White,75
7,White,NoColour,80
8,Black,NoColour,80
9,White,NoColour,80
10,Black,NoColour,80
11,White,NoColour,80
12,Black,NoColour,80
13,White,NoColour,80
14,Black,NoColour,80
15,White,NoColour,80
16,Black,White,67
17,White,NoColour,80
18,Black,White,53
19,White,NoColour,80
20,Black,White,55
21,White,Black,58
22,Black,NoColour,80
23,White,NoColour,80
24,Black,NoColour,62
25,White,NoColour,80
26,Black,Black,50
27,White,NoColour,80
28,Black,White,53
29,White,Black,68
30,Black,NoColour,80
31,White,NoColour,80
32,Black,NoColour,65
33,White,Black,74
34,Black,NoColour,80
35,White,NoColour,80
36,Black,NoColour,70
37,White,Black,58
38,Black,NoColour,68
39,White,Black,80
40,Black,White,75
41,White,Black,58
42,Black,White,53
43,White,NoColour,80
44,Black,Black,56
45,White,White,51
46,Black,NoColour,80
47,White,NoColour,80
48,Black,NoColour,80
49,White,Black,58
50,Black,NoColour,80
51,White,NoColour,70
52,Black,White,51
53,White,NoColour,80
54,Black,White,75
55,White,NoColour,80
56,Black,NoColour,70
57,White,Black,76
58,Black,White,63
59,White,NoColour,80
60,Black,White,63
61,White,NoColour,73
62,Black,NoColour,80
63,White,NoColour,80
64,Black,White,75
65,White,Black,50
66,Black,White,51
67,White,NoColour,80
68,Black,NoColour,62
69,White,Black,62
70,Black,NoColour,74
71,White,Black,78
72,Black,NoColour,42
73,White,Black,48
74,Black,White,39
75,White,NoColour,80
76,Black,NoColour,80
77,White,NoColour,80
78,Black,White,49
79,White,NoColour,80
80,Black,NoColour,80
81,White,NoColour,78
82,Black,NoColour,80
83,White,NoColour,72
84,Black,NoColour,80
85,White,NoColour,80
86,Black,White,79
87,White,Black,68
88,Black,White,75
89,White,NoColour,80
90,Black,NoColour,71
91,White,NoColour,80
92,Black,NoColour,80
93,White,Black,78
94,Black,NoColour,80
95,White,NoColour,79
96,Black,White,63
97,White,White,69
98,Black,White,57
99,White,NoColour,80
